Musica,Amor,Tecnologia,Trabajo,Vino
75.0,80.0,3.0,38.0,13.0
78.0,76.0,4.0,40.0,12.0
76.0,78.0,4.0,40.0,11.0
75.0,79.0,4.0,40.0,12.0
73.0,74.0,4.0,44.0,12.0
70.0,74.0,2.0,33.0,15.0
62.0,77.0,2.0,35.0,11.0
60.0,78.0,3.0,38.0,11.0
60.0,79.0,6.0,41.0,12.0
63.0,81.0,5.0,44.0,13.0
60.0,76.0,5.0,43.0,14.0
58.0,75.0,4.0,38.0,14.0
59.0,79.0,3.0,33.0,15.0
58.0,76.0,4.0,38.0,13.0
61.0,74.0,4.0,38.0,14.0
57.0,70.0,3.0,36.0,13.0
58.0,70.0,4.0,41.0,14.0
57.0,73.0,3.0,32.0,17.0
51.0,64.0,2.0,34.0,14.0
49.0,68.0,2.0,32.0,13.0
53.0,59.0,7.0,40.0,12.0
53.0,64.0,6.0,41.0,15.0
52.0,60.0,5.0,38.0,17.0
48.0,59.0,4.0,34.0,19.0
49.0,60.0,3.0,30.0,18.0
47.0,59.0,3.0,32.0,16.0
46.0,57.0,3.0,35.0,16.0
42.0,57.0,3.0,36.0,14.0
41.0,51.0,4.0,44.0,15.0
42.0,50.0,2.0,32.0,20.0
37.0,52.0,1.0,34.0,14.0
38.0,58.0,2.0,36.0,14.0
36.0,48.0,5.0,40.0,14.0
36.0,50.0,5.0,50.0,14.0
36.0,48.0,4.0,42.0,15.0
34.0,48.0,4.0,46.0,17.0
33.0,46.0,2.0,38.0,15.0
37.0,46.0,3.0,40.0,14.0
36.0,43.0,3.0,41.0,14.0
34.0,42.0,3.0,38.0,13.0
38.0,46.0,3.0,40.0,14.0
42.0,46.0,2.0,33.0,20.0
32.0,45.0,2.0,33.0,13.0
34.0,53.0,4.0,39.0,14.0
34.0,45.0,6.0,50.0,14.0
33.0,48.0,5.0,52.0,16.0
31.0,49.0,4.0,52.0,16.0
32.0,52.0,4.0,54.0,18.0
31.0,53.0,3.0,50.0,17.0
32.0,52.0,3.0,49.0,16.0
32.0,53.0,3.0,46.0,15.0
32.0,50.0,3.0,45.0,15.0
33.0,46.0,4.0,50.0,14.0
31.0,42.0,2.0,46.0,19.0
31.0,50.0,2.0,41.0,16.0
30.0,56.0,3.0,41.0,14.0
31.0,50.0,6.0,49.0,14.0
30.0,59.0,4.0,57.0,15.0
30.0,55.0,4.0,48.0,16.0
30.0,51.0,4.0,45.0,18.0
